Sample Name,Protocol REF,Protocol REF,Parameter Value: Sample Type,Protocol REF,Parameter Value: Nucleus Count,Parameter Value: Library Selection,Parameter Value: Library Layout,Parameter Value: Library QA Instrument,Parameter Value: Library QA Assay,Parameter Value: Average Library Size,Parameter Value: Library Kit,Protocol REF,Parameter Value: Sequencing Instrument,Parameter Value: Base Caller,Parameter Value: R1 Read Length,Parameter Value: R2 Read Length,Assay Name,"lock Request Access to Restricted Files
Raw Data File",Protocol REF,Parameter Value: Processed Data Files,Protocol REF,Parameter Value: Read Depth,Parameter Value: rRNA Contamination,Parameter Value: MultiQC File Names
C002_PBMC_R+45,Cell Isolation,Nucleus Isolation - snRNA sequencing and snATAC sequencing,single nuclei,Library Construction - snRNA sequencing and snATAC sequencing,576,polyA enrichment,Paired,Agilent TapeStation,High Sensitivity D5000 Screentape,559 base pair,Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit,Nucleic Acid Sequencing - snRNA sequencing,Illumina NovaSeq 6000,bcl2fastq,28 base pair,90 base pair,snRNA-Seq,"GLDS-562_snRNA-Seq_snGEX_I4_C002_R+45_R1_raw.fastq.gz, GLDS-562_snRNA-Seq_snGEX_I4_C002_R+45_R2_raw.fastq.gz",Data Analysis - snRNA sequencing and snATAC sequencing,GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx,GeneLab raw data processing protocol - snRNA/snATAC sequencing,305442877 read,2.01 percent,GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C002_PBMC_R+82,Cell Isolation,Nucleus Isolation - snRNA sequencing and snATAC sequencing,single nuclei,Library Construction - snRNA sequencing and snATAC sequencing,9191,polyA enrichment,Paired,Agilent TapeStation,High Sensitivity D5000 Screentape,503 base pair,Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit,Nucleic Acid Sequencing - snRNA sequencing,Illumina NovaSeq 6000,bcl2fastq,28 base pair,90 base pair,snRNA-Seq,"GLDS-562_snRNA-Seq_snGEX_I4_C002_R+82_R1_raw.fastq.gz, GLDS-562_snRNA-Seq_snGEX_I4_C002_R+82_R2_raw.fastq.gz",Data Analysis - snRNA sequencing and snATAC sequencing,GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx,GeneLab raw data processing protocol - snRNA/snATAC sequencing,237851711 read,3.98 percent,GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C003_PBMC_L-92,Cell Isolation,Nucleus Isolation - snRNA sequencing and snATAC sequencing,single nuclei,Library Construction - snRNA sequencing and snATAC sequencing,6032,polyA enrichment,Paired,Agilent TapeStation,High Sensitivity D5000 Screentape,424 base pair,Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit,Nucleic Acid Sequencing - snRNA sequencing,Illumina NovaSeq 6000,bcl2fastq,28 base pair,90 base pair,snRNA-Seq,"GLDS-562_snRNA-Seq_snGEX_I4_C003_L-92_R1_raw.fastq.gz, GLDS-562_snRNA-Seq_snGEX_I4_C003_L-92_R2_raw.fastq.gz",Data Analysis - snRNA sequencing and snATAC sequencing,GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx,GeneLab raw data processing protocol - snRNA/snATAC sequencing,799570986 read,5.14 percent,GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C003_PBMC_L-44,Cell Isolation,Nucleus Isolation - snRNA sequencing and snATAC sequencing,single nuclei,Library Construction - snRNA sequencing and snATAC sequencing,20000,polyA enrichment,Paired,Agilent TapeStation,High Sensitivity D5000 Screentape,461 base pair,Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit,Nucleic Acid Sequencing - snRNA sequencing,Illumina NovaSeq 6000,bcl2fastq,28 base pair,90 base pair,snRNA-Seq,"GLDS-562_snRNA-Seq_snGEX_I4_C003_L-44_R1_raw.fastq.gz, GLDS-562_snRNA-Seq_snGEX_I4_C003_L-44_R2_raw.fastq.gz",Data Analysis - snRNA sequencing and snATAC sequencing,GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx,GeneLab raw data processing protocol - snRNA/snATAC sequencing,402436384 read,2.12 percent,GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C003_PBMC_L-3,Cell Isolation,Nucleus Isolation - snRNA sequencing and snATAC sequencing,single nuclei,Library Construction - snRNA sequencing and snATAC sequencing,1206,polyA enrichment,Paired,Agilent TapeStation,High Sensitivity D5000 Screentape,473 base pair,Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit,Nucleic Acid Sequencing - snRNA sequencing,Illumina NovaSeq 6000,bcl2fastq,28 base pair,90 base pair,snRNA-Seq,"GLDS-562_snRNA-Seq_snGEX_I4_C003_L-3_R1_raw.fastq.gz, GLDS-562_snRNA-Seq_snGEX_I4_C003_L-3_R2_raw.fastq.gz",Data Analysis - snRNA sequencing and snATAC sequencing,GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx,GeneLab raw data processing protocol - snRNA/snATAC sequencing,293148512 read,9.44 percent,GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C003_PBMC_R+1,Cell Isolation,Nucleus Isolation - snRNA sequencing and snATAC sequencing,single nuclei,Library Construction - snRNA sequencing and snATAC sequencing,1553,polyA enrichment,Paired,Agilent TapeStation,High Sensitivity D5000 Screentape,510 base pair,Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit,Nucleic Acid Sequencing - snRNA sequencing,Illumina NovaSeq 6000,bcl2fastq,28 base pair,90 base pair,snRNA-Seq,"GLDS-562_snRNA-Seq_snGEX_I4_C003_R+1_R1_raw.fastq.gz, GLDS-562_snRNA-Seq_snGEX_I4_C003_R+1_R2_raw.fastq.gz",Data Analysis - snRNA sequencing and snATAC sequencing,GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx,GeneLab raw data processing protocol - snRNA/snATAC sequencing,271305769 read,8.7 percent,GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C003_PBMC_R+45,Cell Isolation,Nucleus Isolation - snRNA sequencing and snATAC sequencing,single nuclei,Library Construction - snRNA sequencing and snATAC sequencing,527,polyA enrichment,Paired,Agilent TapeStation,High Sensitivity D5000 Screentape,506 base pair,Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit,Nucleic Acid Sequencing - snRNA sequencing,Illumina NovaSeq 6000,bcl2fastq,28 base pair,90 base pair,snRNA-Seq,"GLDS-562_snRNA-Seq_snGEX_I4_C003_R+45_R1_raw.fastq.gz, GLDS-562_snRNA-Seq_snGEX_I4_C003_R+45_R2_raw.fastq.gz",Data Analysis - snRNA sequencing and snATAC sequencing,GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx,GeneLab raw data processing protocol - snRNA/snATAC sequencing,282800693 read,1.96 percent,GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C003_PBMC_R+82,Cell Isolation,Nucleus Isolation - snRNA sequencing and snATAC sequencing,single nuclei,Library Construction - snRNA sequencing and snATAC sequencing,12623,polyA enrichment,Paired,Agilent TapeStation,High Sensitivity D5000 Screentape,496 base pair,Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit,Nucleic Acid Sequencing - snRNA sequencing,Illumina NovaSeq 6000,bcl2fastq,28 base pair,90 base pair,snRNA-Seq,"GLDS-562_snRNA-Seq_snGEX_I4_C003_R+82_R1_raw.fastq.gz, GLDS-562_snRNA-Seq_snGEX_I4_C003_R+82_R2_raw.fastq.gz",Data Analysis - snRNA sequencing and snATAC sequencing,GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx,GeneLab raw data processing protocol - snRNA/snATAC sequencing,339984410 read,3.87 percent,GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C004_PBMC_L-92,Cell Isolation,Nucleus Isolation - snRNA sequencing and snATAC sequencing,single nuclei,Library Construction - snRNA sequencing and snATAC sequencing,5179,polyA enrichment,Paired,Agilent TapeStation,High Sensitivity D5000 Screentape,450 base pair,Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit,Nucleic Acid Sequencing - snRNA sequencing,Illumina NovaSeq 6000,bcl2fastq,28 base pair,90 base pair,snRNA-Seq,"GLDS-562_snRNA-Seq_snGEX_I4_C004_L-92_R1_raw.fastq.gz, GLDS-562_snRNA-Seq_snGEX_I4_C004_L-92_R2_raw.fastq.gz",Data Analysis - snRNA sequencing and snATAC sequencing,GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx,GeneLab raw data processing protocol - snRNA/snATAC sequencing,616293095 read,5.18 percent,GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C004_PBMC_L-44,Cell Isolation,Nucleus Isolation - snRNA sequencing and snATAC sequencing,single nuclei,Library Construction - snRNA sequencing and snATAC sequencing,14667,polyA enrichment,Paired,Agilent TapeStation,High Sensitivity D5000 Screentape,466 base pair,Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit,Nucleic Acid Sequencing - snRNA sequencing,Illumina NovaSeq 6000,bcl2fastq,28 base pair,90 base pair,snRNA-Seq,"GLDS-562_snRNA-Seq_snGEX_I4_C004_L-44_R1_raw.fastq.gz, GLDS-562_snRNA-Seq_snGEX_I4_C004_L-44_R2_raw.fastq.gz",Data Analysis - snRNA sequencing and snATAC sequencing,GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx,GeneLab raw data processing protocol - snRNA/snATAC sequencing,400956795 read,1.92 percent,GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C004_PBMC_L-3,Cell Isolation,Nucleus Isolation - snRNA sequencing and snATAC sequencing,single nuclei,Library Construction - snRNA sequencing and snATAC sequencing,3562,polyA enrichment,Paired,Agilent TapeStation,High Sensitivity D5000 Screentape,465 base pair,Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit,Nucleic Acid Sequencing - snRNA sequencing,Illumina NovaSeq 6000,bcl2fastq,28 base pair,90 base pair,snRNA-Seq,"GLDS-562_snRNA-Seq_snGEX_I4_C004_L-3_R1_raw.fastq.gz, GLDS-562_snRNA-Seq_snGEX_I4_C004_L-3_R2_raw.fastq.gz",Data Analysis - snRNA sequencing and snATAC sequencing,GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx,GeneLab raw data processing protocol - snRNA/snATAC sequencing,271320154 read,9.16 percent,GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C004_PBMC_R+1,Cell Isolation,Nucleus Isolation - snRNA sequencing and snATAC sequencing,single nuclei,Library Construction - snRNA sequencing and snATAC sequencing,1752,polyA enrichment,Paired,Agilent TapeStation,High Sensitivity D5000 Screentape,497 base pair,Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit,Nucleic Acid Sequencing - snRNA sequencing,Illumina NovaSeq 6000,bcl2fastq,28 base pair,90 base pair,snRNA-Seq,"GLDS-562_snRNA-Seq_snGEX_I4_C004_R+1_R1_raw.fastq.gz, GLDS-562_snRNA-Seq_snGEX_I4_C004_R+1_R2_raw.fastq.gz",Data Analysis - snRNA sequencing and snATAC sequencing,GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx,GeneLab raw data processing protocol - snRNA/snATAC sequencing,292550622 read,7.43 percent,GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C004_PBMC_R+45,Cell Isolation,Nucleus Isolation - snRNA sequencing and snATAC sequencing,single nuclei,Library Construction - snRNA sequencing and snATAC sequencing,806,polyA enrichment,Paired,Agilent TapeStation,High Sensitivity D5000 Screentape,486 base pair,Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit,Nucleic Acid Sequencing - snRNA sequencing,Illumina NovaSeq 6000,bcl2fastq,28 base pair,90 base pair,snRNA-Seq,"GLDS-562_snRNA-Seq_snGEX_I4_C004_R+45_R1_raw.fastq.gz, GLDS-562_snRNA-Seq_snGEX_I4_C004_R+45_R2_raw.fastq.gz",Data Analysis - snRNA sequencing and snATAC sequencing,GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx,GeneLab raw data processing protocol - snRNA/snATAC sequencing,288167212 read,2.39 percent,GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C004_PBMC_R+82,Cell Isolation,Nucleus Isolation - snRNA sequencing and snATAC sequencing,single nuclei,Library Construction - snRNA sequencing and snATAC sequencing,14450,polyA enrichment,Paired,Agilent TapeStation,High Sensitivity D5000 Screentape,534 base pair,Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit,Nucleic Acid Sequencing - snRNA sequencing,Illumina NovaSeq 6000,bcl2fastq,28 base pair,90 base pair,snRNA-Seq,"GLDS-562_snRNA-Seq_snGEX_I4_C004_R+82_R1_raw.fastq.gz, GLDS-562_snRNA-Seq_snGEX_I4_C004_R+82_R2_raw.fastq.gz",Data Analysis - snRNA sequencing and snATAC sequencing,GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx,GeneLab raw data processing protocol - snRNA/snATAC sequencing,227289526 read,5.9 percent,GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
