Sample Name,Protocol REF,Extract Name,Protocol REF,Parameter Value: Library Selection,Parameter Value: Library Layout,Parameter Value: Stranded,Protocol REF,Parameter Value: Sequencing Instrument,Parameter Value: Base Caller,Parameter Value: Read Length,Assay Name,Raw Data File,Protocol REF,Derived Data File,Protocol REF,Parameter Value: Read Depth,Parameter Value: rRNA Contamination,Parameter Value: MultiQC File Names
367414,Nucleic Acid Extraction,367414,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367414_R1_raw.fastq.gz, GLDS-516_rna-seq_367414_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367414.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367414.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,16498857 read,2.55 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367415,Nucleic Acid Extraction,367415,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367415_R1_raw.fastq.gz, GLDS-516_rna-seq_367415_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367415.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367415.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,6184167 read,1.4 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367416,Nucleic Acid Extraction,367416,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367416_R1_raw.fastq.gz, GLDS-516_rna-seq_367416_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367416.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367416.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,13739652 read,2.01 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367417,Nucleic Acid Extraction,367417,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367417_R1_raw.fastq.gz, GLDS-516_rna-seq_367417_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367417.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367417.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,14557982 read,1.54 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367418,Nucleic Acid Extraction,367418,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367418_R1_raw.fastq.gz, GLDS-516_rna-seq_367418_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367418.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367418.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,12687875 read,2.38 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367419,Nucleic Acid Extraction,367419,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367419_R1_raw.fastq.gz, GLDS-516_rna-seq_367419_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367419.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367419.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,11098194 read,1.58 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367420,Nucleic Acid Extraction,367420,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367420_R1_raw.fastq.gz, GLDS-516_rna-seq_367420_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367420.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367420.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,13901604 read,2.19 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367421,Nucleic Acid Extraction,367421,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367421_R1_raw.fastq.gz, GLDS-516_rna-seq_367421_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367421.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367421.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,16221720 read,1.77 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367422,Nucleic Acid Extraction,367422,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367422_R1_raw.fastq.gz, GLDS-516_rna-seq_367422_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367422.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367422.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,13763678 read,1.78 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367423,Nucleic Acid Extraction,367423,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367423_R1_raw.fastq.gz, GLDS-516_rna-seq_367423_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367423.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367423.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,13281591 read,2.04 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367424,Nucleic Acid Extraction,367424,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367424_R1_raw.fastq.gz, GLDS-516_rna-seq_367424_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367424.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367424.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,11273237 read,1.46 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367425,Nucleic Acid Extraction,367425,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367425_R1_raw.fastq.gz, GLDS-516_rna-seq_367425_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367425.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367425.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,13283215 read,2.14 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367426,Nucleic Acid Extraction,367426,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367426_R1_raw.fastq.gz, GLDS-516_rna-seq_367426_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367426.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367426.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,12413231 read,27.39 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367427,Nucleic Acid Extraction,367427,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367427_R1_raw.fastq.gz, GLDS-516_rna-seq_367427_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367427.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367427.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,14409422 read,1.49 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367428,Nucleic Acid Extraction,367428,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367428_R1_raw.fastq.gz, GLDS-516_rna-seq_367428_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367428.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367428.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,11492988 read,1.66 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367429,Nucleic Acid Extraction,367429,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367429_R1_raw.fastq.gz, GLDS-516_rna-seq_367429_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367429.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367429.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,15543862 read,1.84 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367430,Nucleic Acid Extraction,367430,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367430_R1_raw.fastq.gz, GLDS-516_rna-seq_367430_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367430.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367430.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,14206200 read,2.13 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367431,Nucleic Acid Extraction,367431,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367431_R1_raw.fastq.gz, GLDS-516_rna-seq_367431_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367431.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367431.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,15772476 read,2.25 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367432,Nucleic Acid Extraction,367432,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367432_R1_raw.fastq.gz, GLDS-516_rna-seq_367432_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367432.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367432.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,14513406 read,2.75 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367433,Nucleic Acid Extraction,367433,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367433_R1_raw.fastq.gz, GLDS-516_rna-seq_367433_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367433.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367433.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,11649100 read,2.32 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367434,Nucleic Acid Extraction,367434,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367434_R1_raw.fastq.gz, GLDS-516_rna-seq_367434_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367434.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367434.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,13629446 read,1.85 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367435,Nucleic Acid Extraction,367435,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367435_R1_raw.fastq.gz, GLDS-516_rna-seq_367435_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367435.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367435.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,10297208 read,1.64 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367436,Nucleic Acid Extraction,367436,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367436_R1_raw.fastq.gz, GLDS-516_rna-seq_367436_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367436.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367436.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,11484994 read,1.95 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367437,Nucleic Acid Extraction,367437,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367437_R1_raw.fastq.gz, GLDS-516_rna-seq_367437_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367437.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367437.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,15389241 read,2.02 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367438,Nucleic Acid Extraction,367438,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367438_R1_raw.fastq.gz, GLDS-516_rna-seq_367438_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367438.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367438.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,15148833 read,2.39 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367439,Nucleic Acid Extraction,367439,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367439_R1_raw.fastq.gz, GLDS-516_rna-seq_367439_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367439.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367439.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,12585173 read,2.43 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367440,Nucleic Acid Extraction,367440,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367440_R1_raw.fastq.gz, GLDS-516_rna-seq_367440_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367440.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367440.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,14753421 read,4.33 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367441,Nucleic Acid Extraction,367441,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367441_R1_raw.fastq.gz, GLDS-516_rna-seq_367441_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367441.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367441.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,10123181 read,2.06 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367442,Nucleic Acid Extraction,367442,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367442_R1_raw.fastq.gz, GLDS-516_rna-seq_367442_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367442.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367442.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,11141160 read,1.63 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367443,Nucleic Acid Extraction,367443,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367443_R1_raw.fastq.gz, GLDS-516_rna-seq_367443_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367443.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367443.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,11674826 read,1.47 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367444,Nucleic Acid Extraction,367444,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367444_R1_raw.fastq.gz, GLDS-516_rna-seq_367444_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367444.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367444.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,11783659 read,1.83 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367445,Nucleic Acid Extraction,367445,Library Construction,polyA enrichment,PAIRED,UNSTRANDED,Nucleic Acid Sequencing,Illumina NovaSeq 6000,bcl2fastq,151 base pair,rna-seq,"GLDS-516_rna-seq_367445_R1_raw.fastq.gz, GLDS-516_rna-seq_367445_R2_raw.fastq.gz",Sequence Analysis Data Transformation,"GLDS-516_rna-seq_367445.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367445.accepted_hits.merged.markeddups.recal.bai",GeneLab raw data processing protocol,10978232 read,3.92 percent,GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
